# generated-by: python -m ebr normalize --spec research/baselines/specs/EXP-BASE-SIZE-small.yaml --include-incomplete
# tool: ebr 0.1.0 (research/tools/ebr)
# tool-git-sha: ab31252312efde894207d1dacdd421d54c7f9e97
# experiment: EXP-BASE-SIZE
# input: research/raw/EXP-BASE-SIZE/20260917T031201Z-e86b28.jsonl sha256=None
# input: research/raw/EXP-BASE-SIZE/size-small-20260917T033541Z.jsonl.gz sha256=d579b69af1eb5c5200a81e933dc563313708ae9ac27cacfbd39b26621d92f6f0
# do-not-edit: regenerate with the generated-by command; no number here is hand-entered
env_id,candidate,metric,family,unit,unit_of_analysis,decision_grade,n_units,n_items,median,p90,p95,iqr,mad,geomean,ci_lower,ci_upper,ci_confidence,ci_status
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,tarbrotli-q11,ratio,size,,item_median,True,27,27,0.2539042275,0.9281633578,0.9828647461,0.4401748747,0.1344866457,0.2624988018,0.1571447295,0.5526532173,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,7z-mx5-solid,ratio,size,,item_median,True,27,27,0.2418319311,0.9288749191,0.9794306387,0.4106110804,0.1483106478,0.2678418995,0.1600485588,0.5285640954,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,7z-mx9-solid,ratio,size,,item_median,True,27,27,0.2403424325,0.9285980878,0.9794190029,0.4159749294,0.1497651543,0.2628053549,0.1568559335,0.5286457547,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,7z-mx9-nosolid,ratio,size,,item_median,True,27,27,0.3976462898,0.9324502298,0.9798525813,0.4953270112,0.1960345635,0.389611586,0.2403424325,0.6685576252,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,squashfs-zstd,ratio,size,,item_median,True,27,27,0.3851940261,0.9389952501,0.9835663498,0.5152853452,0.2327411077,0.3849770285,0.2513121593,0.7082768427,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,squashfs-xz,ratio,size,,item_median,True,27,27,0.3719906542,0.9382211087,0.981547232,0.5227032979,0.2041409966,0.3641922636,0.2118420029,0.6541962496,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,wim-lzx,ratio,size,,item_median,True,27,27,0.4395332611,0.947051686,0.9861478129,0.4932643852,0.2345774266,0.4193410063,0.2668800138,0.7051383739,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,wim-lzms-solid,ratio,size,,item_median,True,27,27,0.2637496918,0.933653402,0.9831235634,0.4672502521,0.1469346631,0.2766565595,0.1701063052,0.588105128,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,borg-repo,ratio,size,,item_median,True,27,27,0.4436182415,0.9378382648,0.9862538962,0.5063677934,0.2327850013,0.3988628265,0.2463042445,0.7010635366,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,restic-repo,ratio,size,,item_median,True,27,27,0.4634720724,0.9626477287,0.9932540565,0.5252427357,0.2378763283,0.4514176467,0.2910562545,0.7979886497,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
